VehicleSpawn(11, -1193.963501, 201.883667, 6416.686035, 0.022299, -0.702856, -0.015248,NULL, NULL)
VehicleSpawn(11, -11956.357422, 209.280899, 13818.592773, 0.000061, 0.998809, -0.012147,NULL, NULL)
VehicleSpawn(11, -11967.566406, 209.219727, 13952.859375, -0.003267, 0.766299, 0.003772,Buggy, NULL)
VehicleSpawn(11, -11973.263672, 205.763992, 5821.758301, -0.002317, -0.016377, -0.000270,Buggy, NULL)
VehicleSpawn(11, -12010.031250, 209.349686, 13874.291992, 0.008573, 0.728683, -0.004884,NULL, NULL)
VehicleSpawn(11, -13238.001953, 203.054276, -1523.172363, -0.002011, 0.999688, 0.007164,Police,NULL)
VehicleSpawn(11, -13660.023438, 252.339401, 5758.338867, 0.003751, -0.842048, 0.002509,NULL, NULL)
VehicleSpawn(11, -1520.142456, 205.189087, -13608.327148, -0.020223, -0.587326, -0.005975,NULL,NULL)
VehicleSpawn(11, -2338.580322, 213.315125, 13298.464844, 0.028234, 0.997279, 0.055558,Buggy,NULL)
VehicleSpawn(11, -2507.956299, 205.113800, 13357.862305, -0.019588, -0.730178, -0.081187,NULL,NULL)
VehicleSpawn(11, -5147.802246, 242.231400, -12245.213867, -0.012564, 0.999581, 0.015496,Police,NULL)
VehicleSpawn(11, -5158.486328, 241.884399, -12246.168945, -0.024738, 0.999659, -0.000048,Police,NULL)
VehicleSpawn(11, -5342.225098, 447.629364, 8301.032227, 0.005242, 0.387053, 0.022249,NULL,NULL)
VehicleSpawn(11, -6934.689941, 206.300125, -10550.115234, -0.002358, 0.322151, 0.000709,NULL, NULL)
VehicleSpawn(11, 1118.378296, 201.028809, -998.807190, -0.002021, -0.494071, -0.001238,Buggy, NULL)
VehicleSpawn(11, 13033.116211, 237.620407, -640.034668, 0.004797, 0.999875, 0.005959,Police, NULL)
VehicleSpawn(11, 13033.203125, 237.615540, -644.686523, 0.003973, 0.999340, 0.002993,Police, NULL)
VehicleSpawn(11, 13033.388672, 237.595612, -648.804688, -0.000089, 0.999857, 0.006280,Police, NULL)
